time, force
158.7184, -94.51456914562766
158.8184, -94.4886365448717
158.9205, -94.4410774947768
159.0206, -94.48500023923064
159.1207, -94.44155595604536
159.2207, -94.48337347091754
159.3229, -94.42643657995886
159.4231, -94.43638857434492
159.5232, -94.46710578778648
159.6234, -94.48241654838041
159.724, -94.43122119264446
159.8234, -94.46528763496596
159.9254, -94.44366118562704
160.0253, -94.4601202532655
160.1252, -94.43610149758378
160.2271, -94.48940208290139
160.327, -94.44720179901438
160.4261, -94.47590947512799
160.5281, -94.44299133985105
160.6278, -94.44394826238816
160.7298, -94.46126856031005
160.8297, -94.46844547933846
160.9294, -94.46136425256375
161.0313, -94.42720211798856
161.1312, -94.42423565812348
161.2311, -94.42949873207765
161.331, -94.45361318001308
161.4328, -94.43954641871741
161.5327, -94.45543133283361
161.6325, -94.43217811518159
161.7345, -94.419738122199
161.8342, -94.4275848870034
161.934, -94.42882888630166
162.0359, -94.42863750179424
162.136, -94.42213042854182
162.236, -94.37313599464125
162.3359, -94.42969011658506
162.4378, -94.40796797499243
162.5376, -94.45351748775937
162.6374, -94.44117318703051
162.7393, -94.37189199534298
162.8385, -94.46337378989172
162.9404, -94.4481587215515
163.0404, -94.4187811996619
163.1401, -94.43610149758378
163.2419, -94.4220347362881
163.3419, -94.43753688138946
163.4417, -94.39074336932426
163.5435, -94.41935535318416
163.6433, -94.4410774947768
163.7432, -94.41868550740818
163.8452, -94.4156233552894
163.945, -94.36385384603116
164.0451, -94.43198673067415
164.147, -94.43724980462832
164.2471, -94.41945104543788
164.3469, -94.42260888981038
164.4468, -94.3609830784198
164.5486, -94.43466611377809
164.6484, -94.43131688489817
164.7483, -94.45648394762445
164.8502, -94.4711248624424
164.95, -94.43782395815059
165.0499, -94.43744118913574
165.1517, -94.4417473405528
165.2509, -94.4728473230092
165.3528, -94.40107813272516
165.4526, -94.43303934546499
165.5525, -94.47744055118739
165.6543, -94.44959410535718
165.7542, -94.44031195674711
165.854, -94.47456978357603
165.9558, -94.43169965391301
166.0558, -94.48203377936557
166.1555, -94.42949873207765
166.2574, -94.43179534616674
166.3572, -94.44356549337331
166.4591, -94.42270458206409
166.5594, -94.49064608219965
167.665, -94.44892425958119
167.7649, -94.45141225817771
167.8647, -94.42882888630166
167.9666, -94.48595716176776
168.0665, -94.45954609974324
168.1664, -94.39715475032297
168.2684, -94.46232117510088
168.3682, -94.43925934195627
168.468, -94.42538396516802
168.5699, -94.46490486595111
168.6697, -94.44433103140301
168.7695, -94.45887625396725
